video_name, What is in this video?, What is the person doing?, What are the people doing in the background?, Are people in the video focused or distracted?, Can you tell the mood of the person in the video?, Can you identify objects in the video?, Is anyone holding any object, what are they holding?, Are there any safety hazards in the place?, Can you tell the profession of people in the video?
0Y3NovBK0tw_000002_000012.mp4, ['The video shows a group of people ice skating on an indoor ice rink. The camera captures the skaters as they move around the rink with some people skating alone and others skating in pairs. The rink is surrounded by a glass wall and there are several people standing or walking around the rink. The video also shows a sign for "Dick\'s" and a sign for "Nordstrom Rack" in the background.'], ['The person is ice skating.'], ['The people in the background are skating on the ice rink.'], ['The video shows people ice skating on an indoor rink with some people looking at the camera and others looking away.'], ['The person in the video appears to be having a good time and enjoying the experience of ice skating.'], ['Yes the video shows a group of people ice skating on an indoor rink. There are also some people standing on the sidelines watching them.'], ['Yes there is a person holding a black umbrella.'], ['Yes there is a safety hazard in the place. A person is seen falling on the ice which could potentially cause injury to themselves or others nearby.'], ['No the video does not provide any information about the professions of the people in the video.']
-RdPsVc6psA_000061_000071.mp4, ['This video shows a man and a woman standing in a doorway with the woman bending over.'], ['The person is bending over and putting something on the floor.'], ['The people in the background are standing in a doorway and appear to be talking to each other.'], ['The people in the video are focused on their tasks such as tying a tie putting on a jacket and bending over.'], ['The person in the video appears to be in a playful mood as they are bending over and laughing while the other person is adjusting their tie.'], ['Yes the video shows a man wearing a tie and a jacket a woman wearing a shirt and a tie and a child wearing a shirt and a tie.'], ['Yes one of the men is holding a tie.'], ['Yes there is a fire alarm on the wall in the room.'], ['Yes the man in the video is wearing a suit and tie which suggests that he may be a professional or businessperson.']
CyTl4uAU6Uk_000011_000021.mp4, ['In this video a man is seen walking around a room and then begins to dance. He spins around and continues to dance.'], ['The person is dancing in the video.'], ['The people in the background are walking around.'], ['The video shows people dancing and enjoying themselves indicating that they are focused on the music and the dance.'], ['The person in the video appears to be in a playful mood as they are dancing and spinning around.'], ['Yes the video shows a man wearing a black shirt and blue jeans a pair of shoes and a pair of scissors.'], ['Yes a person is holding a blue object in the video.'], ['Yes there is a safety hazard in the place. The man is standing on a wooden floor which can be slippery and cause accidents.'], ['The video does not provide any information about the profession of the people in the video.']
-ibN0Sq5_28_000284_000294.mp4, ['The video shows a group of people parasailing over the ocean.'], ['The person is flying a kite.'], ['The people in the background are flying kites.'], ['The people in the video are focused on the activity they are participating in which is parasailing.'], ['The person in the video appears to be having a lot of fun while parasailing.'], ['Yes the video shows a group of people parasailing over the ocean.'], ['Yes one of the people is holding a camera.'], ['The video does not provide any information about safety hazards in the place.'], ['The video does not provide any information about the profession of the people in the video.']
1SeDNcAtkOY_000010_000020.mp4, ['In this video we see a man and a little boy playing the drums together. The man is sitting behind the drum set and the boy is sitting on his lap. The boy is holding drumsticks and playing the drums while the man is helping him.'], ['The person is playing the drums.'], ['The people in the background are playing the drums.'], ['The people in the video are focused on playing the drums and enjoying the music.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes the video shows a man and a child playing drums together. The man is wearing a blue shirt and the child is wearing a blue shirt as well. The man is holding a drumstick and the child is holding a drumstick.'], ['Yes the man is holding a drumstick in his hand.'], ["Yes there is a safety hazard in the place. The man is holding the child on his lap while playing the drums which could potentially cause injury to the child if the man were to lose control of the drumsticks or if the child were to fall off the man's lap."], ['The video does not provide any information about the profession of the people in the video.']
AccmlS_IhlM_000076_000086.mp4, ['The video shows a man dancing in a room. He is wearing a red hoodie and blue jeans. The room has a shiny floor a red sofa and large windows with curtains. The man is performing a dance routine moving his arms and legs in a rhythmic manner.'], ['The person is dancing in a room.'], ['The people in the background are sitting on a couch and watching the man dance.'], ['The video shows people in the background looking at the man dancing indicating that they are focused on his performance.'], ['The person in the video appears to be in a joyful mood as they are dancing and moving around energetically.'], ['Yes the video shows a man wearing a red hoodie and blue jeans dancing in a room with a white floor. There is a red couch and a window with curtains in the background.'], ['No there is no one holding any object in the video.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the professions of the people in the video.']
2DOvR2Syz00_000033_000043.mp4, ['The video shows a boy wearing a blue life jacket and a man wearing a white hat and an orange life jacket paddling a yellow kayak in the water.'], ['The person is paddling a yellow kayak.'], ['The people in the background are also paddling in a kayak.'], ['The people in the video are focused on their activities such as paddling and enjoying the scenery.'], ['The person in the video appears to be happy and excited as they are smiling and enjoying the activity of kayaking.'], ['Yes the video shows a boy wearing a blue life jacket and a man wearing a white hat. There is also a yellow kayak with the word "Atlantic" visible on it.'], ['Yes the boy is holding a fish.'], ['Yes there are safety hazards in the place. The boy is wearing a life jacket which is a safety measure for water activities. However the video does not show any other safety measures such as a lifeguard or a safety boat. Additionally the boy is paddling a kayak in the water which can be a hazardous activity if not done properly.'], ['The video does not provide any information about the profession of the people in the video.']
9z9n0pFQ5mE_000018_000028.mp4, ["The video shows a man and a boy playing in a room. The man is standing in front of the boy and the boy is jumping on the man's back."], ['The person is standing in a room and then jumping in the air.'], ['The people in the background are playing video games.'], ['The people in the video are focused on their activities such as playing video games and dancing.'], ['The person in the video appears to be having a good time and is enjoying the playful interaction with the other person.'], ['Yes the video shows a man and a woman in a room. The man is wearing a white shirt and black shorts while the woman is wearing a black shirt and blue shorts.'], ['Yes a boy is holding a Wii remote in the video.'], ['Yes there is a safety hazard in the place. The man is standing on a chair which is not a safe place to stand.'], ['The video does not provide any information about the profession of the people in the video.']
61GZJHNc5H8_000002_000012.mp4, ['The video shows a person riding a dirt bike through a river. The rider is wearing a helmet and riding a blue dirt bike. The river is surrounded by rocks and trees and the rider successfully crosses the river.'], ['The person is riding a motorcycle through a river.'], ['The people in the background are standing in the water.'], ['The people in the video are focused on the motorcycle rider as they navigate through the river.'], ['The person in the video appears to be having a good time and enjoying the adventure.'], ['Yes the video shows a person riding a motorcycle through a river.'], ['Yes the person on the right is holding a camera.'], ['Yes there are safety hazards in the place. The person riding the motorcycle is crossing a river which can be dangerous due to the possibility of slippery rocks strong currents and the risk of falling into the water. Additionally the person is riding a dirt bike which is not typically designed for water crossings and may not have the necessary features to handle the water.'], ['The video does not provide any information about the profession of the people in the video.']
Ch62g963ZEY_000005_000015.mp4, ['In the video a man is seen standing in a yard holding an ax. He swings the ax at a log and chops it in half. The man then walks away from the log.'], ['The person is chopping wood with an ax.'], ['The people in the background are playing on a playground.'], ['The video shows people in the background looking at the man indicating that they are focused on his actions.'], ['The person in the video appears to be in a relaxed and casual mood as they are dressed in a suit and are standing in a yard with a pile of wood.'], ['Yes the video shows a man in a suit holding an ax and chopping wood. There is also a girl in a pink shirt and a black jacket standing on a porch. Additionally there is a green slide in the background.'], ['Yes the man is holding an axe.'], ['Yes there are safety hazards in the place. The man is using an ax to cut wood which can be dangerous if not handled properly. Additionally there are children playing nearby which increases the risk of accidents.'], ['The video does not provide any information about the profession of the people in the video.']
